code,description,parent_code
30.17,REVISIEBESCHEIDEN,30
30.18,GARANTIES,30
30.21,"DEMONTEREN/VERWIJDEREN BESTAANDE KOZIJNEN, RAMEN EN DEUREN",30
30.22,"REINIGEN BESTAANDE KOZIJNEN, RAMEN EN DEUREN",30
30.25,"HERSTELLEN BESTAANDE KOZIJNEN, RAMEN EN DEUREN",30
30.26,"AANPASSEN BESTAANDE KOZIJNEN, RAMEN EN DEUREN",30
30.27,"HERPLAATSEN BESTAANDE KOZIJNEN, RAMEN EN DEUREN",30
30.28,"ONDERHOUDEN BESTAANDE KOZIJNEN, RAMEN EN DEUREN",30
30.31,STELKOZIJNEN,30
30.32,KOZIJNEN,30
30.33,DEUREN,30
30.34,RAMEN,30
30.36,ROOSTERS,30
30.37,PANELEN,30
30.38,"TOEBEHOREN KOZIJNEN, RAMEN EN DEUREN",30
30.41,DAKVENSTERS,30
30.42,DAKKAPELLEN,30
30.43,DAKLICHTKOEPELS EN DAKLICHTKAPPEN,30
30.44,DAKLUIKEN,30
30.51,VLIESGEVELSYSTEMEN,30
30.52,BEGLAZINGSPROFIELSYSTEMEN,30
30.61,AUTOMATISCHE VOETGANGERSDEUREN,30
30.62,GARAGE- EN BEDRIJFSBUITENDEUREN,30
30.63,BEDRIJFSBINNENDEUREN,30
30.64,BEDRIJFSGORDIJNEN,30
30.68,TOEBEHOREN GARAGE- EN BEDRIJFSDEUREN,30
30.70,BEWEEGBARE BINNENWANDEN,30
30.80,HANG- EN SLUITWERK,30
30.88,STELPOSTEN,30
31,SYSTEEMBEKLEDINGEN,
31.00,ALGEMEEN,31
31.11,FUNCTIONELE OMSCHRIJVINGEN,31
31.12,WERKBESCHEIDEN,31
31.13,"BEPROEVING, CONTROLE, INSPECTIE, KEURING, METING EN OPNEMING",31
31.14,MONSTERS EN PROEFOPSTELLING,31
31.15,INSTRUCTIE/OPLEIDING,31
31.16,INREGELING EN INBEDRIJFSTELLING,31
31.17,REVISIEBESCHEIDEN,31
31.18,GARANTIES,31
31.21,DEMONTEREN/VERWIJDEREN BESTAANDE SYSTEEMBEKLEDINGEN,31
31.22,REINIGEN BESTAANDE SYSTEEMBEKLEDINGEN,31
31.23,VOORBEHANDELEN ONDERGROND BESTAANDE SYSTEEMBEKLEDINGEN,31
31.24,injecteren bestaand werk,31
31.25,HERSTELLEN BESTAANDE SYSTEEMBEKLEDINGEN,31
31.26,AANPASSEN BESTAANDE SYSTEEMBEKLEDINGEN,31
31.27,HERPLAATSEN BESTAANDE SYSTEEMBEKLEDINGEN,31
31.28,ONDERHOUDEN BESTAAND WERK,31
31.31,ENKELVOUDIGE PANEELBEKLEDINGEN,31
31.32,ENKELVOUDIGE FELSPLAATBEKLEDINGEN,31
31.33,ENKELVOUDIGE PROFIELPLAATBEKLEDINGEN,31
31.40,SAMENGESTELDE BEKLEDINGEN,31
31.50,BEKLEDINGEN SANDWICHPANELEN,31
31.70,METALEN DRAAGCONSTRUCTIE,31
31.81,VOCHTKERINGEN,31
31.82,ISOLATIE,31
31.88,STELPOSTEN,31
32,TRAPPEN EN BALUSTRADEN,
32.00,ALGEMEEN,32
32.11,FUNCTIONELE OMSCHRIJVINGEN,32
32.12,WERKBESCHEIDEN,32
32.13,"BEPROEVING, CONTROLE, INSPECTIE, KEURING, METING EN OPNEMING",32
32.14,"MONSTERS, PROEFOPSTELLINGEN EN PROEFVLAKKEN",32
32.15,INSTRUCTIE/OPLEIDING,32
32.16,"KEURING, INSPECTIE, RAPPORTAGE",32
32.17,REVISIEBESCHEIDEN,32
32.18,GARANTIES,32
32.21,DEMONTEREN/VERWIJDEREN BESTAANDE TRAPPEN EN BALUSTRADEN,32
32.22,REINIGEN BESTAANDE TRAPPEN EN BALUSTRADEN,32
32.25,HERSTELLEN BESTAANDE TRAPPEN EN BALUSTRADEN,32
32.26,AANPASSEN BESTAANDE TRAPPEN EN BALUSTRADEN,32
32.27,HERPLAATSEN BESTAANDE TRAPPEN EN BALUSTRADEN,32
32.28,ONDERHOUDEN BESTAANDE TRAPPEN EN BALUSTRADEN,32
32.31,VASTE TRAPPEN,32
32.32,BEWEEGBARE TRAPPEN,32
32.37,TRAPONDERDELEN,32
32.41,LADDERS,32
32.42,KLIMIJZERS,32
32.43,KLIMBEVEILIGINGEN,32
32.51,BALUSTRADEN,32
32.52,LEUNINGEN,32
32.57,BALUSTRADE- EN LEUNINGONDERDELEN,32
32.88,STELPOSTEN,32
33,DAKBEDEKKINGEN,
33.00,ALGEMEEN,33
33.11,FUNCTIONELE OMSCHRIJVINGEN,33
33.12,WERKBESCHEIDEN,33
33.13,"BEPROEVING, CONTROLE, INSPECTIE, KEURING, METING EN OPNEMING",33
33.14,MONSTERS EN PROEFOPSTELLING,33
33.15,INSTRUCTIE/OPLEIDING,33
33.16,"KEURING, INSPECTIE, RAPPORTAGE",33
33.17,REVISIEBESCHEIDEN,33
33.18,GARANTIES,33
33.21,DEMONTEREN/VERWIJDEREN BESTAANDE DAKBEDEKKING,33
33.22,REINIGEN BESTAANDE DAKBEDEKKING,33
33.25,HERSTELLEN BESTAANDE DAKBEDEKKING,33
33.26,AANPASSEN BESTAANDE DAKBEDEKKING,33
33.28,ONDERHOUDEN BESTAANDE DAKBEDEKKING,33
33.31,"VOORBEHANDELING ONDERGROND, BAANVORMIGE DAKBEDEKKINGEN",33
33.32,ISOLATIE/AFSCHOTLAAG,33
33.33,BITUMINEUZE DAKBEDEKKINGEN,33
33.34,KUNSTSTOF DAKBEDEKKINGEN,33
33.35,DAKDETAILS,33
33.36,DAKBEGROEIING,33
33.37,DAKVERHARDINGEN,33
33.38,"OP TE NEMEN ONDERDELEN, BAANVORMIGE DAKBEDEKKINGEN",33
33.41,KERAMISCHE EN BETONNEN DAKPANNEN,33
33.42,METALEN DAKPANPLATEN,33
33.51,NATUUR- EN KUNSTSTEEN LEIEN,33
33.52,METALEN LEIEN,33
33.53,HOUTEN LEIEN,33
33.54,BITUMINEUZE LEIEN,33
33.55,KUNSTSTOF LEIEN,33
